#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 51.34,-22 03 10.0 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,350_m20_comissioning Tile 000
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1.0,2382337995959015040,-37.16884389284455,-175.38773448781578,179.305904676049,-1.06809558163468,1.36211675073764,3.85297297480726,351.29303,-22.794483,16.9918003082275,16.1728000640869,15.8544998168945,15.7292995452881,15.6110000610352,16.232368,16.824743,15.505235,7.6318475220404,9.66311638109532,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-38619.1106122442,-167623.037714286,1.0,-37146.5,-175415.92,NA,P,-0.164365044247788,-0.776176637168142,NA,NA,NA,NA,rectangular_magnet,R01,2.0,I,1.0,A,-28.802631055761765,3.85297297480726,circular_magnet,Yel,2.0,TL,0.03546368063999998,0.006
2.0,2385491876343673472,-127.15100429291417,94.1757157051788,158.256300894528,3.19984776720314,-0.637303944623682,3.83715171182682,350.88254,-21.651638,17.3610992431641,16.4466991424561,16.0912990570068,15.9327001571655,15.8138999938965,16.506777,17.142677,15.741824,20.8703766217291,-4.26568872761878,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-131389.85061224,90659.9322857146,1.0,-127191.05,94167.37,NA,P,-0.562792256637168,0.416669778761062,NA,NA,NA,NA,rectangular_magnet,R02,2.0,I,2.0,B,86.66222785490015,3.83715171182682,circular_magnet,Yel,2.0,TL,0.04046368063999998,0.006
3.0,2391502734613726464,-85.29058696123948,153.78210382444672,175.854141562642,0.353814069668865,-1.06450532672707,1.41831939639594,351.07626,-21.400997,18.4682006835938,17.8246002197266,17.5625991821289,17.4379997253418,17.320499420166,17.882627,18.433983,17.190617,-1.50845579158169,-2.64811220612623,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-87609.1306122435,147304.798285714,1.0,-85278.16,153793.09,NA,P,-0.377336991150443,0.680500398230089,NA,NA,NA,NA,rectangular_magnet,R03,2.0,I,3.0,C,-110.27205292437388,1.41831939639594,circular_magnet,Yel,2.0,TL,0.015463680639999975,0.006
4.0,2391469263933562112,55.595881554857755,153.8480720370078,163.569092443442,2.98443817773303,4.36594232828685,4.90168115662577,351.71756,-21.39967,18.8110008239746,17.7908000946045,17.3714008331299,17.169900894165,17.0421009063721,17.8264,18.580988,17.00623,-2.21072835934816,-3.06878254805644,1.0,19.0,-99.0,1.0,1.0,-999.0,False,57324.6693877568,147604.700285714,1.0,55541.15,153850.67,NA,P,0.245757300884956,0.680755176991151,NA,NA,NA,NA,rectangular_magnet,R04,2.0,I,4.0,D,99.00428819818308,4.90168115662577,circular_magnet,Yel,2.0,TR,0.05446368063999998,0.006
5.0,2391449232206408832,118.75458080730064,115.37990699569819,165.574123155636,3.11075935018315,3.91253352781322,5.48141112954952,352.00607,-21.562555,18.5839004516602,17.7103996276855,17.355899810791,17.1963996887207,17.0655002593994,17.7724,18.38925,16.995668,2.82649726243257,-5.04828017428436,1.0,19.0,-99.0,1.0,1.0,-999.0,False,122527.929387764,110792.690285714,1.0,118758.93,115373.77,NA,P,0.525481991150442,0.510503407079646,NA,NA,NA,NA,rectangular_magnet,R05,2.0,I,5.0,I,91.76661815364662,5.48141112954952,circular_magnet,Yel,2.0,TR,-0.004536319360000025,0.006
6.0,2385475551172647680,-104.28202908789368,65.86172922461013,123.298516251853,-0.47599951679166,-0.563324573202283,0.0873250564106227,350.98468,-21.770964,18.0963001251221,16.8708992004395,16.1065998077393,15.7699003219604,15.5715999603271,16.72494,17.702608,15.722382,16.7008522389301,-16.2643512628851,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-108306.210612236,63692.2562857144,1.0,-104246.98,65841.41,NA,P,-0.46126982300885,0.291333672566372,NA,NA,NA,NA,rectangular_magnet,R06,2.0,I,6.0,J,-62.72723663757132,0.0873250564106227,circular_magnet,Gre,2.0,TR,0.04046368063999998,-0.002
7.0,2391418209657328128,24.120585359780616,54.383072800699225,59.503020686245,3.47072651173309,4.29485467579932,5.45905714311335,351.57568,-21.819237,18.3430995941162,17.7073993682861,17.4190998077393,17.357400894165,17.2145004272461,17.791643,18.258633,17.067993,-3.00280624189495,-9.91086024707467,1.0,19.0,-99.0,1.0,1.0,-999.0,False,25259.7893877535,52782.558285714,1.0,24128.94,54391.21,NA,P,0.106765221238938,0.24066907079646,NA,NA,NA,NA,rectangular_magnet,R07,2.0,I,7.0,K,71.14201903353165,5.45905714311335,circular_magnet,Blu,2.0,TR,-0.010536319360000025,-0.005
8.0,2391438958643976192,9.939186500439947,96.9248784927794,97.421742300023,3.22793639640228,4.6104864451905,4.90063525839136,351.50983,-21.637728,18.974100112915,17.7563991546631,16.7968997955322,16.3806991577148,16.1270008087158,17.48162,18.663565,16.412132,8.8423086978791,8.32563700912958,1.0,19.0,-99.0,1.0,1.0,-999.0,False,10377.6893877637,93803.5922857144,1.0,9910.35,96916.36,NA,P,0.0438511061946903,0.428833451327434,NA,NA,NA,NA,rectangular_magnet,R08,2.0,I,8.0,L,85.0528679494816,4.90063525839136,circular_magnet,Gre,2.0,TR,0.029463680639999976,0.006
9.0,2388419768434151552,93.98819477434552,61.24051091383449,112.160237811783,3.61228819087864,3.71903978071357,6.17643371734466,351.89682,-21.79056,19.12619972229,17.9862995147705,17.3551998138428,17.090799331665,16.88330078125,17.942373,18.753935,17.0119,-1.0400080745398,-5.05442850734557,1.0,19.0,-99.0,1.0,1.0,-999.0,False,97837.4293877566,59263.5602857144,1.0,93974.46,61226.79,NA,P,0.415816194690266,0.270915,NA,NA,NA,NA,rectangular_magnet,R09,2.0,I,9.0,M,63.03113227770609,6.17643371734466,circular_magnet,Gre,2.0,TR,0.018463680639999976,0.006
10.0,2388399805425924224,125.47411873502718,13.386106176473724,126.175942008712,4.18667206402019,3.24768393120116,0.938988132819026,352.0414,-21.994837,17.1375999450684,16.2458000183105,15.8731002807617,15.7327995300293,15.5946998596191,16.28562,16.93848,15.514439,-11.0486764796863,-0.950602755186481,1.0,19.0,-99.0,1.0,1.0,-999.0,False,130512.509387761,13096.9582857141,1.0,125466.53,13361.07,NA,P,0.555161637168142,0.0591197787610619,NA,NA,NA,NA,rectangular_magnet,R10,2.0,I,10.0,N,30.12136052631802,0.938988132819026,circular_magnet,Gre,2.0,TL,0.025463680639999976,0.006
